,date of low,low,number of weeks since drop,original closing price,original date,ticker
470,20160212,3.58,14,6.09,20151106,ASPN
471,20160219,3.78,1,4.36,20160129,ASPN
472,20160401,3.58,7,3.58,20160212,ASPN
473,20170413,3.98,23,4.04,20161104,ASPN
474,20150925,4.79,5,11.15,20160115,LEJU
475,20160212,3.39,25,5.25,20150821,LEJU
476,20170728,1.43,4,3.76,20160902,LEJU
477,20171222,1.42,25,1.84,20170630,LEJU
478,20180209,1.39,22,1.47,20170908,LEJU
479,20150918,6.04,4,9.45,20171124,RYAM
480,20160212,6.45,25,7.29,20150821,RYAM
481,20170421,12.5,11,13.78,20170203,RYAM
482,20170915,16.05,19,19.3,20170505,REV
483,20170929,16.6,8,16.6,20170804,REV
484,20150918,13.01,6,22.43,20160617,NAP
485,20160115,8.15,23,12.85,20150807,NAP
486,20160304,8.66,8,8.66,20160108,NAP
487,20161111,9.97,1,10.2,20160205,NAP
488,20161230,9.86,8,9.86,20161104,NAP
489,20170811,8.89,26,10.48,20170210,NAP
490,20140131,14.79,6,23.85,20161104,CGG
491,20140516,13.12,21,16.49,20131220,CGG
492,20160226,0.6102,6,14.21,20140509,CGG
497,20160415,0.65,8,0.65,20160219,CGG
498,20160708,0.7197,9,0.83,20160506,CGG
499,20170630,4.43,3,16.77,20161111,CGG
500,20170818,3.4101,10,5.2967,20170609,CGG
501,20150814,3.04,1,3.04,20150807,RSO
502,20160212,9.57,4,10.03,20160115,RSO
503,20160506,19.7,9,27.76,20160304,HRB
504,20150130,2.68,9,3.36,20141128,PGH
505,20150529,2.67,25,2.71,20141205,PGH
506,20160115,0.5405,25,1.66,20150724,PGH
511,20170428,0.99,25,1.32,20161104,PGH
512,20180216,17.65,1,17.65,20180209,VSH
513,20170421,17.53,11,25.91,20161028,UA
514,20171110,11.37,1,18.19,20170203,UA
515,20130927,37.05,9,37.05,20130726,TPX
516,20170203,43.49,18,56.74,20160930,TPX
517,20140711,12.94,17,53.92,20171103,BPI
518,20171117,8.24,16,14.55,20140314,BPI
519,20180105,7.6,23,9.76,20170728,BPI
520,20141212,7.47,2,16.84,20130419,EPE
521,20150109,9.18,4,10.69,20141128,EPE
522,20150925,5.28,12,7.47,20141212,EPE
523,20151218,3.5,24,11.33,20150702,EPE
524,20160219,1.92,26,6.12,20150821,EPE
525,20160226,1.72,24,5.69,20150911,EPE
531,20160701,1.92,19,1.92,20160219,EPE
532,20171208,1.55,2,4.03,20160401,EPE
533,20131129,20.985,1,30.21,20150807,NVGS
534,20170519,8.4,1,20.06,20131122,NVGS
535,20170616,7.3,5,8.9,20170512,NVGS
536,20160115,17.04,23,73.92,20150807,TRGP
537,20160212,16.28,10,30.23,20151204,TRGP
539,20151120,6.11,1,16.28,20160212,MSB
540,20160115,3.43,9,7.5,20151113,MSB
544,20160401,5.67,3,5.67,20160311,MSB
545,20160826,17.25,25,24.68,20160304,ERJ
546,20170616,15.86,9,18.0,20170413,HCC
547,20171215,20.54,3,20.54,20171124,HCC
548,20131227,25.84,16,25.84,20130906,AWR
549,20141212,31.89,2,72.88,20140912,CLR
550,20160219,17.46,9,40.98,20141128,CLR
551,20151211,10.85,11,22.71,20151218,JHX
552,20160122,11.26,17,12.29,20150925,JHX
553,20170804,6.81,9,31.72,20161028,ZYME
554,20171110,6.87,23,10.48,20170602,ZYME
555,20130628,5.6,21,13.11,20130201,NTP
556,20170224,14.84,15,14.84,20161111,ABX
557,20150731,26.4,13,65.76,20140404,YELP
558,20150925,22.17,21,39.76,20150501,YELP
559,20160129,20.95,26,26.4,20150731,YELP
560,20170526,27.65,2,35.83,20170210,YELP
561,20140131,14.89,13,28.7,20170512,AVP
562,20151113,2.5,9,18.27,20131101,AVP
566,20160422,2.79,15,2.79,20160108,AVP
567,20170818,2.62,26,4.61,20170217,AVP
568,20171103,1.94,26,3.7,20170505,AVP
569,20160115,0.335,13,2.87,20170804,BXC
570,20160122,0.38799999999999996,1,0.64,20151016,BXC
571,20160429,0.335,15,0.335,20160115,BXC
572,20150130,7.15,2,7.99,20171020,HBM
573,20160122,1.85,10,7.07,20150116,HBM
576,20160624,2.03,23,2.03,20160115,HBM
577,20161021,4.05,24,4.085,20160506,HBM
578,20160324,13.11,23,13.11,20151016,CBD
579,20140207,1.18,15,16.04,20161111,XNY
580,20140425,1.07,26,1.43,20131025,XNY
581,20150116,4.17,10,5.95,20130517,DS
582,20160212,3.2,4,4.26,20141107,DS
583,20160624,3.23,23,3.23,20160115,DS
584,20160219,7.29,1,14.76,20150306,ENLC
585,20160226,7.99,1,8.66,20160212,ENLC
586,20160122,3.65,12,7.29,20160219,BVN
587,20150911,3.4,19,6.41,20151030,HHS
588,20160324,2.59,20,6.42,20150501,HHS
589,20160603,0.8659,21,3.54,20151106,HHS
593,20161021,1.3,23,1.3,20160513,HHS
594,20161111,0.8659,23,0.8659,20160603,HHS
595,20170908,0.8623,4,1.52,20161202,HHS
596,20180119,0.762,23,0.762,20170811,HHS
597,20150731,1.27,21,3.03,20141003,DRD
598,20150828,1.3,25,1.77,20150306,DRD
599,20170512,3.79,26,3.93,20161111,DRD
600,20160624,37.13,6,53.96,20151113,JWN
601,20161021,39.16,23,39.16,20160513,JWN
602,20170519,40.77,1,50.48,20161216,JWN
603,20161028,13.18,10,41.2,20170512,CXW
604,20151113,3.67,14,19.08,20160819,AMBR
605,20160205,3.92,26,4.44,20150807,AMBR
606,20141212,17.44,2,27.23,20141128,SPN
607,20160212,8.87,5,19.31,20141128,SPN
608,20160617,11.07,23,11.07,20160108,SPN
609,20180216,8.91,1,14.4,20161028,SPN
610,20160212,7.49,5,15.93,20150724,HTZ
612,20160610,9.72,21,9.72,20160115,HTZ
613,20170609,8.81,11,28.0,20161111,HTZ
615,20171006,10.51,21,10.51,20170512,HTZ
616,20170811,11.83,22,22.07,20170310,SNAP
618,20140530,12.17,9,12.76,20171110,RNG
619,20141024,11.25,2,17.91,20140328,RNG
620,20150206,10.7,17,10.7,20141010,RNG
621,20150313,0.682,13,15.92,20160311,ATV
624,20150410,0.81,4,1.0,20150220,ATV
625,20150710,0.682,17,0.682,20150313,ATV
626,20151002,0.602,26,0.82,20150402,ATV
627,20151127,0.48,21,1.37,20150702,ATV
631,20160318,0.52,17,0.52,20151120,ATV
632,20160401,4.2,12,6.54,20151218,ATV
633,20160506,4.01,17,4.01,20160108,ATV
634,20160401,4.2,3,5.54,20160226,ATV
635,20160708,4.65,17,4.65,20160311,ATV
636,20170413,6.32,17,6.32,20161216,ATV
637,20171027,10.54,17,10.54,20170630,ATV
638,20140725,18.44,13,37.43,20140808,MYE
639,20150911,12.95,7,19.93,20140425,MYE
640,20160122,11.14,26,14.79,20150724,MYE
641,20160226,5.52,7,17.4,20141212,ENBL
642,20160506,7.75,17,7.75,20160108,ENBL
643,20171222,29.03,15,38.21,20140307,HCI
644,20131101,18.47,3,30.77,20170908,LRN
645,20150109,10.3,13,19.01,20131011,LRN
