,Close,Date,Open,Ticker,Volume
665,22.55,20090522,26.84,GME,44878100
664,24.77,20091023,27.9,GME,32850700
663,21.33,20091204,25.31,GME,49910900
662,17.2,20100226,19.35,GME,33482900
661,19.21,20100618,21.7,GME,48597800
660,23.59,20110715,26.56,GME,30000600
659,32.11,20130524,39.76,GME,40043300
658,49.86,20131122,57.09,GME,29728600
657,37.65,20140117,45.47,GME,51300500
656,41.22,20140801,45.86,GME,24331800
655,37.86,20141121,44.36,GME,32514263
654,32.3,20141212,37.1,GME,25920187
653,37.18,20151113,46.77,GME,16328804
652,28.74,20160826,32.0,GME,27846222
651,20.73,20161104,23.95,GME,26934542
650,20.7,20170324,24.66,GME,29615267
649,23.19,20010105,26.75,KR,22948500
648,22.12,20010406,25.79,KR,36692400
647,23.29,20010921,27.05,KR,32956100
646,20.51,20011214,24.5,KR,81093100
645,19.52,20020614,21.95,KR,31225100
644,18.08,20020830,20.23,KR,25162300
643,15.37,20020920,18.46,KR,32352500
642,16.76,20040312,19.16,KR,25343800
641,23.78,20081010,26.8,KR,56541900
640,20.03,20091211,22.49,KR,139925300
639,38.72,20150717,76.96,KR,20501794
638,22.29,20170616,30.65,KR,216564460
637,11.81,20000331,14.44,SBR,346200
636,23.14,20010615,26.75,SBR,209700
635,21.3,20010921,23.9,SBR,284800
634,20.13,20011116,22.49,SBR,142200
633,19.9,20020712,22.18,SBR,129700
632,20.78,20030314,23.1,SBR,191500
631,43.24,20061208,55.0,SBR,1047300
630,59.9999,20080718,70.05,SBR,367250
629,40.75,20081010,52.8,SBR,613294
628,38.08,20081121,46.15,SBR,289354
627,31.6,20090220,40.76,SBR,237791
626,40.31,20090717,45.0,SBR,276938
625,43.23,20100319,48.92,SBR,262540
624,57.19,20110805,66.25,SBR,288929
623,49.77,20120518,55.87,SBR,215193
622,38.24,20141212,44.1,SBR,359908
621,6.62,20000128,8.25,NR,2738600
620,6.0,20000211,6.88,NR,1770700
619,7.69,20000414,8.94,NR,1974700
618,7.88,20000728,9.31,NR,1238500
617,8.06,20001006,9.25,NR,504300
616,7.5,20001110,8.75,NR,457400
615,7.25,20010105,9.56,NR,3165000
614,7.99,20010316,9.16,NR,1335700
613,6.79,20010921,8.2,NR,3526900
612,6.8,20020118,7.7,NR,2274600
611,6.6,20020712,7.6,NR,1005500
610,5.75,20020719,6.6,NR,582300
609,4.91,20020726,5.7,NR,1433400
608,4.0,20020809,4.6,NR,1809400
607,3.5,20021004,3.9,NR,959800
606,3.05,20021025,3.6,NR,1891400
605,3.6,20030207,4.07,NR,679200
604,4.84,20030725,5.39,NR,1514400
603,4.29,20040206,4.88,NR,1442900
602,5.49,20041203,6.3,NR,1543700
601,7.38,20051007,8.46,NR,3143300
600,5.56,20060519,6.2,NR,6801400
599,5.19,20060908,5.77,NR,2009500
598,6.46,20070105,7.25,NR,2798500
597,6.71,20070727,7.63,NR,2110800
596,5.46,20070803,6.7,NR,4252000
595,7.19,20080905,8.66,NR,4884600
594,6.93,20080912,7.79,NR,4661000
593,5.2,20081010,6.01,NR,3874700
592,4.64,20081024,5.64,NR,3537900
591,4.84,20081107,5.67,NR,4187900
590,3.95,20081114,5.01,NR,2520400
589,3.52,20081121,3.93,NR,3557300
588,3.74,20081205,4.44,NR,3433400
587,3.48,20081226,3.91,NR,1316800
586,3.34,20090220,3.9,NR,1288700
585,2.97,20090227,3.38,NR,2191800
584,2.52,20090306,2.9,NR,3336500
583,2.46,20090320,2.81,NR,2420400
582,2.85,20090619,3.38,NR,3076600
581,2.31,20090710,2.67,NR,2218300
580,6.28,20100521,6.98,NR,4607800
579,5.88,20101029,8.35,NR,23604100
578,7.62,20110805,9.5,NR,9922400
577,7.2,20110819,8.05,NR,5810000
576,6.32,20110923,7.77,NR,5177700
575,10.47,20141128,12.41,NR,2314693
574,9.56,20141205,10.73,NR,9867530
573,7.43,20150619,9.0,NR,7297615
572,6.27,20150821,7.21,NR,4500780
571,4.83,20151211,5.75,NR,4671712
570,3.62,20160212,4.51,NR,5862480
569,4.67,20160429,5.23,NR,4512613
568,4.35,20160513,5.02,NR,7066408
567,6.75,20170310,7.5,NR,3259258
566,17.35,20010921,19.9,KWR,82400
565,20.64,20070727,24.18,KWR,295400
564,19.35,20080104,21.64,KWR,161700
563,16.83,20080118,19.11,KWR,289400
562,26.7,20080627,30.23,KWR,1074600
561,22.3,20081003,30.45,KWR,319200
560,17.86,20081010,21.77,KWR,581700
559,17.25,20081017,19.32,KWR,606200
558,14.58,20081114,18.26,KWR,581600
557,11.2,20081121,14.37,KWR,634100
556,12.44,20090116,14.03,KWR,692100
555,8.73,20090220,10.37,KWR,338300
554,5.63,20090227,8.75,KWR,585900
553,17.49,20100129,20.48,KWR,210900
552,25.17,20100507,32.08,KWR,1063600
551,24.95,20100521,28.31,KWR,642200
550,24.38,20100604,27.49,KWR,629500
549,25.88,20100702,28.96,KWR,737100
548,30.81,20100813,35.09,KWR,894200
547,33.72,20110805,41.21,KWR,580900
546,28.89,20110819,32.47,KWR,531400
545,39.24,20120518,45.08,KWR,415600
544,89.0,20010921,102.07,BCS,107950
543,28.83,20020712,32.05,BCS,645800
542,25.8,20021206,29.7,BCS,769700
541,55.79,20070302,62.65,BCS,4251065
540,34.39,20080208,38.41,BCS,9186566
539,35.36,20080411,39.43,BCS,5420445
538,23.47,20080905,26.23,BCS,4892469
537,15.2,20081010,22.76,BCS,15847393
536,12.6,20081024,16.29,BCS,6765468
535,10.73,20081031,12.08,BCS,13352185
534,9.29,20081114,12.19,BCS,6947622
533,8.18,20081121,9.2,BCS,8223854
532,7.25,20090116,11.19,BCS,23090117
531,3.07,20090123,4.34,BCS,57930155
530,5.83,20090213,7.12,BCS,29320121
529,5.14,20090227,6.07,BCS,25609399
528,3.51,20090306,5.04,BCS,21225254
527,18.63,20090605,20.78,BCS,39015367
526,20.9,20091030,23.44,BCS,12799871
525,17.1,20100122,20.34,BCS,13619065
524,20.42,20100430,23.23,BCS,14141004
523,16.61,20100507,20.65,BCS,24009982
522,12.47,20110805,14.7,BCS,32054244
521,9.89,20110819,11.83,BCS,29570036
520,10.3,20120629,12.26,BCS,44741991
519,17.45,20130920,19.52,BCS,14672252
518,8.89,20160624,10.39,BCS,105212339
517,1.97,20000303,2.19,PQ,364400
516,1.81,20000407,2.06,PQ,192300
515,1.5,20000414,1.88,PQ,332300
514,2.56,20000623,2.91,PQ,201000
513,2.31,20000721,2.86,PQ,668500
512,3.62,20000922,4.09,PQ,421500
511,3.12,20001201,3.64,PQ,226400
510,7.81,20010608,8.895,PQ,1920900
509,6.79,20010615,7.92,PQ,1588200
508,5.65,20010713,6.59,PQ,727200
507,4.95,20010921,5.935,PQ,660600
506,5.62,20011116,6.25,PQ,1332400
505,5.13,20011214,6.31,PQ,4042300
504,4.4,20020208,5.05,PQ,854600
503,4.26,20020719,4.96,PQ,639300
502,4.09,20020802,4.91,PQ,1923300
501,4.15,20021101,4.713,PQ,2631000
500,2.98,20030207,3.48,PQ,1311900
499,2.06,20030221,2.81,PQ,4833800
498,1.68,20030307,1.87,PQ,1194000
497,1.24,20030509,1.45,PQ,2169700
496,1.4,20030530,1.75,PQ,6011400
495,1.88,20030801,2.11,PQ,4022200
494,2.07,20030926,2.3,PQ,1089000
493,2.57,20040206,3.02,PQ,3289100
492,3.23,20040430,3.7,PQ,1777300
491,4.73,20040806,5.3,PQ,3439300
490,6.65,20050324,7.49,PQ,2600600
489,6.15,20050429,6.92,PQ,2585500
488,5.63,20050513,6.68,PQ,2599400
487,8.16,20051111,9.2,PQ,5191000
486,10.12,20060210,11.55,PQ,2585300
485,10.58,20070302,12.35,PQ,2035200
484,12.9,20080118,14.45,PQ,3885000
483,24.58,20080703,27.7,PQ,5502800
482,23.11,20080718,27.22,PQ,9229000
481,17.99,20080808,20.8,PQ,7363800
480,11.96,20081003,15.35,PQ,6313200
479,7.15,20081010,11.61,PQ,10431200
478,8.11,20081024,9.92,PQ,5700200
477,7.94,20081107,9.97,PQ,3479800
476,6.33,20081114,8.23,PQ,4497300
475,5.32,20081121,6.27,PQ,4962700
474,4.68,20081205,6.75,PQ,7179400
473,6.16,20090116,7.19,PQ,3204800
472,4.95,20090220,6.09,PQ,3630200
471,3.24,20090227,5.01,PQ,7962000
470,1.8,20090306,3.2,PQ,7760100
469,5.14,20090605,5.74,PQ,7565500
468,4.58,20090619,5.27,PQ,5213700
467,3.84,20090626,4.38,PQ,17882600
466,2.78,20090710,3.49,PQ,5654100
